Worker_refined,repo_refined,Coding Effort,"Month, Day, Year of Date"
aaa,AAA,0,7/1/2015
dxw,HEL,5,7/1/2015
woe,WHS,4.73,7/1/2015
woe,EZR,0.26,7/1/2015
wlk,RJA,5,7/1/2015
spy,HRM,5,7/1/2015
foo,JID,5,7/1/2015
dme,LZH,5,7/1/2015
pau,JIV,0,7/1/2015
ffe,GQY,5,7/1/2015
uqh,HEL,5,7/1/2015
ywt,YVI,0,7/1/2015
ywt,QCX,0,7/1/2015
ywt,WGZ,0,7/1/2015
ywt,BBU,0,7/1/2015
ywt,QBR,0,7/1/2015
ywt,PGD,0,7/1/2015
ywt,KKU,0,7/1/2015
ywt,RYL,0,7/1/2015
ywt,OGW,4.99,7/1/2015
ywt,QBC,0,7/1/2015
rra,KGD,5,7/1/2015
bzn,KAM,5,7/1/2015
uov,HDR,5,7/1/2015
fvj,UDG,0,7/1/2015
shh,TDR,0,7/1/2015
tza,LZH,0,7/1/2015
daj,CCP,0,7/1/2015
pjt,EZR,0,7/1/2015
pjt,NVM,0,7/1/2015
qmj,AZX,0,7/1/2015
tkq,SHP,5,7/1/2015
rpa,OLV,5,7/1/2015
hwu,ZTD,5,7/1/2015
cdj,WGV,0,7/1/2015
nqd,KGD,0.05,7/1/2015
nqd,EAU,4.94,7/1/2015
vkk,UAO,5,7/1/2015
gfg,HEL,0,7/1/2015
jmw,EUC,5,7/1/2015
elu,ZOD,0,7/1/2015
vsi,SXE,0,7/1/2015
rtr,DQZ,3.4,7/1/2015
rtr,JYX,1.59,7/1/2015
wkl,IFB,0,7/1/2015
soo,DSZ,5,7/1/2015
zhg,GQY,5,7/1/2015
mvs,UAO,5,7/1/2015
qrj,ATT,0,7/1/2015
tbc,GIG,5,7/1/2015
gwl,PXD,0,7/1/2015
vsj,SXE,0,7/1/2015
vmf,DQZ,0,7/1/2015
unz,UAO,0,7/1/2015
tao,MUT,5,7/1/2015
tao,UYG,0,7/1/2015
tao,OOL,0,7/1/2015
yzj,HFQ,5,7/1/2015
ukn,QCN,5,7/1/2015
xyp,LFH,4.9,7/1/2015
ydo,ZSI,0,7/1/2015
frv,YEV,5,7/1/2015
sxi,FHJ,2.81,7/1/2015
qiu,CRD,0,7/1/2015
mka,BKC,0,7/1/2015
gtv,DSZ,5,7/1/2015
ecc,KAM,3.47,7/1/2015
ecc,ECK,0,7/1/2015
gzo,YEV,5,7/1/2015
yre,LRF,5,7/1/2015
kyu,YEV,5,7/1/2015
rwn,XBV,0,7/1/2015
pym,LHC,2.98,7/1/2015
pym,HMN,0.19,7/1/2015
pym,VXF,1.82,7/1/2015
tra,PTK,0,7/1/2015
mqg,XHS,4,7/1/2015
mqg,TEK,0.99,7/1/2015
iwa,DGV,0,7/1/2015
lev,UYW,0,7/1/2015
ulp,DJV,5,7/1/2015
vyl,KGD,0,7/1/2015
dhg,VPJ,0,7/1/2015
rkt,NBX,0,7/1/2015
fug,AQE,5,7/1/2015
vwa,NQY,0,7/1/2015
yey,CUI,5,7/1/2015
ojz,XKI,0,7/1/2015
ytk,JOJ,0,7/1/2015
erm,ZJJ,5,7/1/2015
gpn,PCH,5,7/1/2015
mvn,COH,5,7/1/2015
kic,KGD,4.92,7/1/2015
iwd,FCO,5,7/1/2015
aen,OIU,0,7/1/2015
rlu,OBV,5,7/1/2015
vdj,UAO,5,7/1/2015
hgh,AOZ,0,7/1/2015
hgh,XXW,0.02,7/1/2015
mfr,XHS,0,7/1/2015
mfr,TEK,4.99,7/1/2015
ywc,GKD,0,7/1/2015
wdg,KGD,0.64,7/1/2015
wdg,FST,1.44,7/1/2015
wdg,GPW,2.9,7/1/2015
mkg,KUM,5,7/1/2015
koz,JIV,0,7/1/2015
ilw,HWK,0,7/1/2015
gud,WME,0,7/1/2015
hqy,XHS,0.1,7/1/2015
hqy,TEK,4.89,7/1/2015
gha,LZH,0,7/1/2015
zpj,FCO,0,7/1/2015
ebm,CUI,0,7/1/2015
zsr,JIV,0,7/1/2015
dqm,FKJ,0,7/1/2015
iqz,TEK,0,7/1/2015
lnn,KFR,5,7/1/2015
fhb,HEP,0,7/1/2015
tqu,DKD,0.04,7/1/2015
tqu,OCW,0.03,7/1/2015
tqu,ULH,0,7/1/2015
tqu,QVH,0,7/1/2015
tqu,OZL,4.39,7/1/2015
tqu,WUG,0.05,7/1/2015
tqu,CXH,0.07,7/1/2015
tqu,AOR,0.18,7/1/2015
tqu,ADJ,0.03,7/1/2015
tqu,CUZ,0.04,7/1/2015
tqu,NHT,0.14,7/1/2015
yns,XEI,5,7/1/2015
fsl,EZU,5,7/1/2015
yem,VXK,5,7/1/2015
qub,DLZ,0,7/1/2015
cmz,JIV,0,7/1/2015
rji,GKD,0,7/1/2015
pin,ADG,0,7/1/2015
qyu,LJR,5,7/1/2015
dmn,FST,4.06,7/1/2015
dmn,RQN,0.93,7/1/2015
wpz,UWJ,0,7/1/2015
wzl,DGV,0,7/1/2015
foz,VXF,5,7/1/2015
lnb,CUE,2.98,7/1/2015
fsb,KGD,0.16,7/1/2015
tai,DCM,0,7/1/2015
nps,XMW,3.71,7/1/2015
nps,VSL,1.28,7/1/2015
mfx,XMW,5,7/1/2015
dzl,XMW,5,7/1/2015
ueg,KGD,3.56,7/1/2015
ueg,VSL,1.43,7/1/2015
auw,CNJ,0.02,7/1/2015
kmb,RSO,5,7/1/2015
rbm,LJR,5,7/1/2015
eco,FFK,0,7/1/2015
eky,PLS,0,7/1/2015
xid,JIV,0,7/1/2015
mff,OOT,0,7/1/2015
fcq,DCM,0,7/1/2015
fcq,RSO,5,7/1/2015
jps,KGD,0.33,7/1/2015
pti,GSE,0,7/1/2015
mgz,MNT,2.49,7/1/2015
mgz,QRO,2.5,7/1/2015
ykm,DWF,0,7/1/2015
xao,CRD,2.64,7/1/2015
fhj,EEX,3.33,7/1/2015
fhj,OBZ,1.66,7/1/2015
iqr,WQD,5,7/1/2015
rqy,MQB,0,7/1/2015
stw,MQB,0,7/1/2015
myo,CIU,2.13,7/1/2015
ymp,FBM,4.96,7/1/2015
ymp,HVO,0.03,7/1/2015
moe,XWQ,0,7/1/2015
vbf,JID,4.34,7/1/2015
tiu,HEL,0,7/1/2015
arg,OQJ,2.51,7/1/2015
agp,KGD,1.39,7/1/2015
agp,FKJ,3.6,7/1/2015
aig,OFX,5,7/1/2015
mus,GIZ,0,7/1/2015
adi,LZH,0,7/1/2015
sli,HEL,0,7/1/2015
lna,GLE,0,7/1/2015
rpe,FAB,0,7/1/2015
crj,KAM,5,7/1/2015
dey,RRJ,0,7/1/2015
aob,GRN,0,7/1/2015
kwb,PPY,0,7/1/2015
gez,KGD,3.38,7/1/2015
gez,YBA,1.61,7/1/2015
opt,GIG,0,7/1/2015
ard,XFB,0,7/1/2015
bjp,PTK,0,7/1/2015
